"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 15:20:32 CEST 2020","Mon Apr 20 15:20:32 CEST 2020","282","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_r1l3rvwriaew_searchVenues","test_r1l3rvwriaew_searchVenues",""
"failed","Mon Apr 20 15:20:53 CEST 2020","Mon Apr 20 15:20:53 CEST 2020","283","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_rl7vg39h0s4j_searchVenues","test_rl7vg39h0s4j_searchVenues",""
"failed","Mon Apr 20 15:18:36 CEST 2020","Mon Apr 20 15:18:36 CEST 2020","292","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_1ib6gsry19zjl_searchVenues","test_1ib6gsry19zjl_searchVenues",""
"passed","Mon Apr 20 15:21:28 CEST 2020","Mon Apr 20 15:21:29 CEST 2020","280","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_sl6ovjkjls9y_searchVenues","test_sl6ovjkjls9y_searchVenues",""
"failed","Mon Apr 20 15:20:29 CEST 2020","Mon Apr 20 15:20:30 CEST 2020","423","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_r1csu3awqov7_searchVenues","test_r1csu3awqov7_searchVenues",""
"failed","Mon Apr 20 15:22:09 CEST 2020","Mon Apr 20 15:22:09 CEST 2020","356","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_todfa8zc0cbn_searchVenues","test_todfa8zc0cbn_searchVenues",""
"passed","Mon Apr 20 15:19:07 CEST 2020","Mon Apr 20 15:19:07 CEST 2020","281","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_1iynt9um52lgx_searchVenues","test_1iynt9um52lgx_searchVenues",""
"passed","Mon Apr 20 15:19:08 CEST 2020","Mon Apr 20 15:19:09 CEST 2020","277","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_1iyq3w7ogip89_searchVenues","test_1iyq3w7ogip89_searchVenues",""
"failed","Mon Apr 20 15:23:15 CEST 2020","Mon Apr 20 15:23:15 CEST 2020","338","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_vbem3l13gl6h_searchVenues","test_vbem3l13gl6h_searchVenues",""
"failed","Mon Apr 20 15:22:29 CEST 2020","Mon Apr 20 15:22:29 CEST 2020","328","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","","foursquareSearchVenues_allFaultyHalfHalfOriginalDependencies.FoursquareTest_1iyex83xb9smo","test_u82drmvu7j1s_searchVenues","test_u82drmvu7j1s_searchVenues",""
