"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 09:12:26 CEST 2020","Wed Apr 15 09:12:26 CEST 2020","279","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_skycrk1n9zs1_searchVenues","test_skycrk1n9zs1_searchVenues",""
"failed","Wed Apr 15 09:13:59 CEST 2020","Wed Apr 15 09:14:00 CEST 2020","291","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_vbhxts2r1ld2_searchVenues","test_vbhxts2r1ld2_searchVenues",""
"failed","Wed Apr 15 09:13:36 CEST 2020","Wed Apr 15 09:13:37 CEST 2020","365","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_urk2z2w6ny2g_searchVenues","test_urk2z2w6ny2g_searchVenues",""
"passed","Wed Apr 15 09:09:41 CEST 2020","Wed Apr 15 09:09:42 CEST 2020","268","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_1hvb07je9gbw5_searchVenues","test_1hvb07je9gbw5_searchVenues",""
"failed","Wed Apr 15 09:12:24 CEST 2020","Wed Apr 15 09:12:25 CEST 2020","288","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_skvls29m554h_searchVenues","test_skvls29m554h_searchVenues",""
"failed","Wed Apr 15 09:12:40 CEST 2020","Wed Apr 15 09:12:40 CEST 2020","283","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_t4crykc4k1gj_searchVenues","test_t4crykc4k1gj_searchVenues",""
"passed","Wed Apr 15 09:09:54 CEST 2020","Wed Apr 15 09:09:54 CEST 2020","289","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_1ibersmuxe3hu_searchVenues","test_1ibersmuxe3hu_searchVenues",""
"failed","Wed Apr 15 09:12:19 CEST 2020","Wed Apr 15 09:12:19 CEST 2020","295","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_skmrfh7ceka9_searchVenues","test_skmrfh7ceka9_searchVenues",""
"failed","Wed Apr 15 09:13:50 CEST 2020","Wed Apr 15 09:13:50 CEST 2020","327","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_uvgy0k1p9a9c_searchVenues","test_uvgy0k1p9a9c_searchVenues",""
"failed","Wed Apr 15 09:13:13 CEST 2020","Wed Apr 15 09:13:13 CEST 2020","309","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_too0uiczcgmq_searchVenues","test_too0uiczcgmq_searchVenues",""
"failed","Wed Apr 15 09:09:41 CEST 2020","Wed Apr 15 09:09:41 CEST 2020","274","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_1hvb050loemoz_searchVenues","test_1hvb050loemoz_searchVenues",""
"failed","Wed Apr 15 09:12:51 CEST 2020","Wed Apr 15 09:12:51 CEST 2020","280","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_t81afiu1srao_searchVenues","test_t81afiu1srao_searchVenues",""
"passed","Wed Apr 15 09:13:28 CEST 2020","Wed Apr 15 09:13:28 CEST 2020","274","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_ubgdq3onhs9w_searchVenues","test_ubgdq3onhs9w_searchVenues",""
"passed","Wed Apr 15 09:11:18 CEST 2020","Wed Apr 15 09:11:18 CEST 2020","304","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","","foursquareSearchVenues_allFaultyParametersIgnoreDependencies.FoursquareTest_1iuspri2qdlit","test_qxiro0hnb0oi_searchVenues","test_qxiro0hnb0oi_searchVenues",""
