"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 14 13:57:56 CEST 2020","Tue Apr 14 13:57:56 CEST 2020","331","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_rhb2493xe981_searchVenues","test_rhb2493xe981_searchVenues",""
"failed","Tue Apr 14 13:57:08 CEST 2020","Tue Apr 14 13:57:09 CEST 2020","384","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_qdvh7nal51yt_searchVenues","test_qdvh7nal51yt_searchVenues",""
"failed","Tue Apr 14 13:57:39 CEST 2020","Tue Apr 14 13:57:39 CEST 2020","300","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_qxwn8x270x0x_searchVenues","test_qxwn8x270x0x_searchVenues",""
"passed","Tue Apr 14 13:57:21 CEST 2020","Tue Apr 14 13:57:21 CEST 2020","298","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_qhia3ep5ykbo_searchVenues","test_qhia3ep5ykbo_searchVenues",""
"failed","Tue Apr 14 13:59:49 CEST 2020","Tue Apr 14 13:59:50 CEST 2020","421","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_u8dhkpyz01gj_searchVenues","test_u8dhkpyz01gj_searchVenues",""
"failed","Tue Apr 14 13:57:23 CEST 2020","Tue Apr 14 13:57:23 CEST 2020","306","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_qhl1y74mnyhy_searchVenues","test_qhl1y74mnyhy_searchVenues",""
"passed","Tue Apr 14 14:00:14 CEST 2020","Tue Apr 14 14:00:15 CEST 2020","299","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_us3i6ff4xh0m_searchVenues","test_us3i6ff4xh0m_searchVenues",""
"failed","Tue Apr 14 13:59:19 CEST 2020","Tue Apr 14 13:59:19 CEST 2020","419","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_tofm0wqnh8hk_searchVenues","test_tofm0wqnh8hk_searchVenues",""
"passed","Tue Apr 14 13:59:16 CEST 2020","Tue Apr 14 13:59:16 CEST 2020","297","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_toa4swbnt2r9_searchVenues","test_toa4swbnt2r9_searchVenues",""
"passed","Tue Apr 14 13:55:14 CEST 2020","Tue Apr 14 13:55:15 CEST 2020","349","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_1hbjacf4m17w0_searchVenues","test_1hbjacf4m17w0_searchVenues",""
"passed","Tue Apr 14 13:57:42 CEST 2020","Tue Apr 14 13:57:42 CEST 2020","304","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_qy4eozz5iwc9_searchVenues","test_qy4eozz5iwc9_searchVenues",""
"failed","Tue Apr 14 13:55:00 CEST 2020","Tue Apr 14 13:55:00 CEST 2020","309","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_1h7rgmb8f9bhf_searchVenues","test_1h7rgmb8f9bhf_searchVenues",""
"failed","Tue Apr 14 13:59:45 CEST 2020","Tue Apr 14 13:59:46 CEST 2020","312","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_u82cx7t6pj6s_searchVenues","test_u82cx7t6pj6s_searchVenues",""
"passed","Tue Apr 14 13:55:07 CEST 2020","Tue Apr 14 13:55:08 CEST 2020","290","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_1h84rod2otrna_searchVenues","test_1h84rod2otrna_searchVenues",""
"failed","Tue Apr 14 13:57:23 CEST 2020","Tue Apr 14 13:57:24 CEST 2020","404","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_qhnc3u1hg1tc_searchVenues","test_qhnc3u1hg1tc_searchVenues",""
"passed","Tue Apr 14 13:58:39 CEST 2020","Tue Apr 14 13:58:39 CEST 2020","323","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_sl15brxa7h9z_searchVenues","test_sl15brxa7h9z_searchVenues",""
"passed","Tue Apr 14 13:59:42 CEST 2020","Tue Apr 14 13:59:43 CEST 2020","307","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_u7ww3lze2pgk_searchVenues","test_u7ww3lze2pgk_searchVenues",""
"failed","Tue Apr 14 13:58:45 CEST 2020","Tue Apr 14 13:58:46 CEST 2020","317","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_sohbrn277h45_searchVenues","test_sohbrn277h45_searchVenues",""
"passed","Tue Apr 14 13:56:57 CEST 2020","Tue Apr 14 13:56:58 CEST 2020","313","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_1jyobffwi2nhi_searchVenues","test_1jyobffwi2nhi_searchVenues",""
"failed","Tue Apr 14 13:56:28 CEST 2020","Tue Apr 14 13:56:28 CEST 2020","393","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_1je9xwblwfcj6_searchVenues","test_1je9xwblwfcj6_searchVenues",""
"failed","Tue Apr 14 13:57:47 CEST 2020","Tue Apr 14 13:57:48 CEST 2020","308","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_r1ctou5uu4bm_searchVenues","test_r1ctou5uu4bm_searchVenues",""
"failed","Tue Apr 14 13:58:05 CEST 2020","Tue Apr 14 13:58:05 CEST 2020","302","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_rl2u7z8xy8mt_searchVenues","test_rl2u7z8xy8mt_searchVenues",""
"failed","Tue Apr 14 13:58:03 CEST 2020","Tue Apr 14 13:58:03 CEST 2020","377","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_rhty83o1uxix_searchVenues","test_rhty83o1uxix_searchVenues",""
"passed","Tue Apr 14 13:55:03 CEST 2020","Tue Apr 14 13:55:03 CEST 2020","333","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","","foursquareSearchVenues_allNominalCorrectDependencies.FoursquareTest_qhkirxqymz52","test_1h7z8iqhogz8k_searchVenues","test_1h7z8iqhogz8k_searchVenues",""
