"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 14 14:13:25 CEST 2020","Tue Apr 14 14:13:26 CEST 2020","382","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_rkxc8i0vhooj_searchVenues","test_rkxc8i0vhooj_searchVenues",""
"failed","Tue Apr 14 14:12:21 CEST 2020","Tue Apr 14 14:12:21 CEST 2020","353","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_1jyob16jx6smb_searchVenues","test_1jyob16jx6smb_searchVenues",""
"failed","Tue Apr 14 14:14:06 CEST 2020","Tue Apr 14 14:14:06 CEST 2020","368","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_sl3d7vc729gl_searchVenues","test_sl3d7vc729gl_searchVenues",""
"passed","Tue Apr 14 14:11:17 CEST 2020","Tue Apr 14 14:11:17 CEST 2020","314","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_1ien7tf9vz1pi_searchVenues","test_1ien7tf9vz1pi_searchVenues",""
"failed","Tue Apr 14 14:15:28 CEST 2020","Tue Apr 14 14:15:29 CEST 2020","441","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_us08gwoidlya_searchVenues","test_us08gwoidlya_searchVenues",""
"failed","Tue Apr 14 14:14:19 CEST 2020","Tue Apr 14 14:14:19 CEST 2020","291","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_t4csclfhlxet_searchVenues","test_t4csclfhlxet_searchVenues",""
"failed","Tue Apr 14 14:14:49 CEST 2020","Tue Apr 14 14:14:49 CEST 2020","330","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_tol5kodaxt83_searchVenues","test_tol5kodaxt83_searchVenues",""
"passed","Tue Apr 14 14:15:52 CEST 2020","Tue Apr 14 14:15:52 CEST 2020","274","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_vevcquw0pqw4_searchVenues","test_vevcquw0pqw4_searchVenues",""
"passed","Tue Apr 14 14:15:16 CEST 2020","Tue Apr 14 14:15:16 CEST 2020","310","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_ubu5vb2m53z9_searchVenues","test_ubu5vb2m53z9_searchVenues",""
"passed","Tue Apr 14 14:13:02 CEST 2020","Tue Apr 14 14:13:03 CEST 2020","311","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","","foursquareSearchVenues_allNominalIgnoreDependencies.FoursquareTest_1jeytlnozaa7m","test_qy1mzt7pyc11_searchVenues","test_qy1mzt7pyc11_searchVenues",""
