"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 14 13:42:14 CEST 2020","Tue Apr 14 13:42:14 CEST 2020","302","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_u7rsxatj2k4m_searchVenues","test_u7rsxatj2k4m_searchVenues",""
"failed","Tue Apr 14 13:43:21 CEST 2020","Tue Apr 14 13:43:22 CEST 2020","381","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_vf1eaibci8tz_searchVenues","test_vf1eaibci8tz_searchVenues",""
"failed","Tue Apr 14 13:38:38 CEST 2020","Tue Apr 14 13:38:39 CEST 2020","366","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_1if11zggzmzxe_searchVenues","test_1if11zggzmzxe_searchVenues",""
"failed","Tue Apr 14 13:41:05 CEST 2020","Tue Apr 14 13:41:05 CEST 2020","309","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_skkhyxm3rmn6_searchVenues","test_skkhyxm3rmn6_searchVenues",""
"failed","Tue Apr 14 13:39:13 CEST 2020","Tue Apr 14 13:39:13 CEST 2020","294","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_1ji4huibozq04_searchVenues","test_1ji4huibozq04_searchVenues",""
"failed","Tue Apr 14 13:38:58 CEST 2020","Tue Apr 14 13:38:58 CEST 2020","303","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_1iyq31j5kwjso_searchVenues","test_1iyq31j5kwjso_searchVenues",""
"failed","Tue Apr 14 13:38:04 CEST 2020","Tue Apr 14 13:38:04 CEST 2020","319","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_1hrayz6x61mqu_searchVenues","test_1hrayz6x61mqu_searchVenues",""
"failed","Tue Apr 14 13:41:37 CEST 2020","Tue Apr 14 13:41:37 CEST 2020","287","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_t4vp82fqsab8_searchVenues","test_t4vp82fqsab8_searchVenues",""
"failed","Tue Apr 14 13:41:04 CEST 2020","Tue Apr 14 13:41:05 CEST 2020","305","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_skjz71j2p8ab_searchVenues","test_skjz71j2p8ab_searchVenues",""
"failed","Tue Apr 14 13:40:22 CEST 2020","Tue Apr 14 13:40:23 CEST 2020","329","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","","foursquareSearchVenues_allNominalOriginalDependencies.FoursquareTest_vbbubz2r1fll","test_r1idy5nzx6wk_searchVenues","test_r1idy5nzx6wk_searchVenues",""
