"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 14:26:47 CEST 2020","Mon Apr 20 14:26:47 CEST 2020","429","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_1iv1k9g5hl6bc_getUserRepos","test_1iv1k9g5hl6bc_getUserRepos",""
"passed","Mon Apr 20 14:29:36 CEST 2020","Mon Apr 20 14:29:36 CEST 2020","426","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_rhaik7ahvui8_getUserRepos","test_rhaik7ahvui8_getUserRepos",""
"failed","Mon Apr 20 14:28:58 CEST 2020","Mon Apr 20 14:28:58 CEST 2020","449","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_qhklwgugnrcj_getUserRepos","test_qhklwgugnrcj_getUserRepos",""
"passed","Mon Apr 20 14:32:39 CEST 2020","Mon Apr 20 14:32:40 CEST 2020","423","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_ts1xu03a0p4m_getUserRepos","test_ts1xu03a0p4m_getUserRepos",""
"passed","Mon Apr 20 14:33:02 CEST 2020","Mon Apr 20 14:33:02 CEST 2020","445","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_ubgazty8gmyf_getUserRepos","test_ubgazty8gmyf_getUserRepos",""
"failed","Mon Apr 20 14:27:53 CEST 2020","Mon Apr 20 14:27:53 CEST 2020","465","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_1jy7qq4m0wt42_getUserRepos","test_1jy7qq4m0wt42_getUserRepos",""
"passed","Mon Apr 20 14:26:37 CEST 2020","Mon Apr 20 14:26:37 CEST 2020","424","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_1iuqfznl1gsa8_getUserRepos","test_1iuqfznl1gsa8_getUserRepos",""
"passed","Mon Apr 20 14:28:56 CEST 2020","Mon Apr 20 14:28:57 CEST 2020","677","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_qhkkq1bi0do1_getUserRepos","test_qhkkq1bi0do1_getUserRepos",""
"passed","Mon Apr 20 14:27:23 CEST 2020","Mon Apr 20 14:27:23 CEST 2020","717","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_1jett2nruz9et_getUserRepos","test_1jett2nruz9et_getUserRepos",""
"passed","Mon Apr 20 14:24:56 CEST 2020","Mon Apr 20 14:24:58 CEST 2020","1383","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","","githubGetUserRepos_allFaultyHalfHalfOriginalDependencies.GitHubTest_rl2cr2k7wqi8","test_1h7fv7a9zjr5e_getUserRepos","test_1h7fv7a9zjr5e_getUserRepos",""
