"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 14 21:42:51 CEST 2020","Tue Apr 14 21:42:52 CEST 2020","500","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_t4qnzqwcqdsz_getUserRepos","test_t4qnzqwcqdsz_getUserRepos",""
"passed","Tue Apr 14 21:38:13 CEST 2020","Tue Apr 14 21:38:14 CEST 2020","542","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_1ieuyvh1royn5_getUserRepos","test_1ieuyvh1royn5_getUserRepos",""
"failed","Tue Apr 14 21:42:15 CEST 2020","Tue Apr 14 21:42:16 CEST 2020","564","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_skkhyzix8rw2_getUserRepos","test_skkhyzix8rw2_getUserRepos",""
"passed","Tue Apr 14 21:37:22 CEST 2020","Tue Apr 14 21:37:23 CEST 2020","436","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_1hrgy42yulxrt_getUserRepos","test_1hrgy42yulxrt_getUserRepos",""
"passed","Tue Apr 14 21:45:16 CEST 2020","Tue Apr 14 21:45:16 CEST 2020","491","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_vbq7zdtr4kz9_getUserRepos","test_vbq7zdtr4kz9_getUserRepos",""
"failed","Tue Apr 14 21:40:40 CEST 2020","Tue Apr 14 21:40:41 CEST 2020","497","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_qxfhkkm848ro_getUserRepos","test_qxfhkkm848ro_getUserRepos",""
"passed","Tue Apr 14 21:43:53 CEST 2020","Tue Apr 14 21:43:53 CEST 2020","547","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_u7xd8x43j9er_getUserRepos","test_u7xd8x43j9er_getUserRepos",""
"passed","Tue Apr 14 21:42:30 CEST 2020","Tue Apr 14 21:42:30 CEST 2020","451","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_sobsj2bo1xdd_getUserRepos","test_sobsj2bo1xdd_getUserRepos",""
"passed","Tue Apr 14 21:44:05 CEST 2020","Tue Apr 14 21:44:06 CEST 2020","543","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_u8dzkvlx1r36_getUserRepos","test_u8dzkvlx1r36_getUserRepos",""
"failed","Tue Apr 14 21:39:01 CEST 2020","Tue Apr 14 21:39:02 CEST 2020","497","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_1je9vybo41u7k_getUserRepos","test_1je9vybo41u7k_getUserRepos",""
"failed","Tue Apr 14 21:41:43 CEST 2020","Tue Apr 14 21:41:44 CEST 2020","508","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_s0v0dzf3woc9_getUserRepos","test_s0v0dzf3woc9_getUserRepos",""
"failed","Tue Apr 14 21:43:08 CEST 2020","Tue Apr 14 21:43:08 CEST 2020","581","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_tnz2k1yyjmu9_getUserRepos","test_tnz2k1yyjmu9_getUserRepos",""
"passed","Tue Apr 14 21:39:36 CEST 2020","Tue Apr 14 21:39:36 CEST 2020","416","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_1jxzd4ythuw53_getUserRepos","test_1jxzd4ythuw53_getUserRepos",""
"passed","Tue Apr 14 21:42:49 CEST 2020","Tue Apr 14 21:42:49 CEST 2020","573","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_t4ndwkyjcysz_getUserRepos","test_t4ndwkyjcysz_getUserRepos",""
"failed","Tue Apr 14 21:40:24 CEST 2020","Tue Apr 14 21:40:24 CEST 2020","496","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","","githubGetUserRepos_allFaultyParametersIgnoreDependencies.GitHubTest_1jig23hyhi5ph","test_qe6nf5wunl2d_getUserRepos","test_qe6nf5wunl2d_getUserRepos",""
