"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 19:17:16 CEST 2020","Tue Apr 14 19:17:17 CEST 2020","944","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_t4vou3o6isl3_getUserRepos","test_t4vou3o6isl3_getUserRepos",""
"passed","Tue Apr 14 19:20:40 CEST 2020","Tue Apr 14 19:20:41 CEST 2020","932","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_vbf6fyyc001j_getUserRepos","test_vbf6fyyc001j_getUserRepos",""
"passed","Tue Apr 14 19:16:06 CEST 2020","Tue Apr 14 19:16:07 CEST 2020","1172","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_skn9oey7v4tt_getUserRepos","test_skn9oey7v4tt_getUserRepos",""
"passed","Tue Apr 14 19:12:33 CEST 2020","Tue Apr 14 19:12:34 CEST 2020","899","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_qe9v93g9xhyv_getUserRepos","test_qe9v93g9xhyv_getUserRepos",""
"passed","Tue Apr 14 19:20:02 CEST 2020","Tue Apr 14 19:20:03 CEST 2020","914","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_uv6dxydrf1o5_getUserRepos","test_uv6dxydrf1o5_getUserRepos",""
"passed","Tue Apr 14 19:13:48 CEST 2020","Tue Apr 14 19:13:49 CEST 2020","896","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_r1ln95hjl25w_getUserRepos","test_r1ln95hjl25w_getUserRepos",""
"passed","Tue Apr 14 19:08:25 CEST 2020","Tue Apr 14 19:08:26 CEST 2020","923","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1ibc1iizskgfk_getUserRepos","test_1ibc1iizskgfk_getUserRepos",""
"passed","Tue Apr 14 19:12:07 CEST 2020","Tue Apr 14 19:12:08 CEST 2020","965","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_qdst0g7g2cdt_getUserRepos","test_qdst0g7g2cdt_getUserRepos",""
"passed","Tue Apr 14 19:06:40 CEST 2020","Tue Apr 14 19:06:41 CEST 2020","1185","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1hbghuxgpj7ec_getUserRepos","test_1hbghuxgpj7ec_getUserRepos",""
"passed","Tue Apr 14 19:13:21 CEST 2020","Tue Apr 14 19:13:22 CEST 2020","932","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_qy1mjdblzxo4_getUserRepos","test_qy1mjdblzxo4_getUserRepos",""
"passed","Tue Apr 14 19:06:24 CEST 2020","Tue Apr 14 19:06:25 CEST 2020","943","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1hb7pe55kc37d_getUserRepos","test_1hb7pe55kc37d_getUserRepos",""
"passed","Tue Apr 14 19:10:51 CEST 2020","Tue Apr 14 19:10:52 CEST 2020","894","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1jid9xj3fsnjn_getUserRepos","test_1jid9xj3fsnjn_getUserRepos",""
"passed","Tue Apr 14 19:15:23 CEST 2020","Tue Apr 14 19:15:24 CEST 2020","949","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_s18cjxcg546a_getUserRepos","test_s18cjxcg546a_getUserRepos",""
"passed","Tue Apr 14 19:14:20 CEST 2020","Tue Apr 14 19:14:21 CEST 2020","917","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_rhoxb0mrvpkh_getUserRepos","test_rhoxb0mrvpkh_getUserRepos",""
"passed","Tue Apr 14 19:12:03 CEST 2020","Tue Apr 14 19:12:04 CEST 2020","885","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_qdpzlncikn6t_getUserRepos","test_qdpzlncikn6t_getUserRepos",""
"passed","Tue Apr 14 19:14:57 CEST 2020","Tue Apr 14 19:14:58 CEST 2020","921","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_s0uzzyoikjfo_getUserRepos","test_s0uzzyoikjfo_getUserRepos",""
"passed","Tue Apr 14 19:18:31 CEST 2020","Tue Apr 14 19:18:32 CEST 2020","836","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_u7u3jlxvrdwy_getUserRepos","test_u7u3jlxvrdwy_getUserRepos",""
"passed","Tue Apr 14 19:11:53 CEST 2020","Tue Apr 14 19:11:55 CEST 2020","1156","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1k201ajx08z1e_getUserRepos","test_1k201ajx08z1e_getUserRepos",""
"passed","Tue Apr 14 19:12:29 CEST 2020","Tue Apr 14 19:12:30 CEST 2020","854","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_qe9c5d9acshf_getUserRepos","test_qe9c5d9acshf_getUserRepos",""
"passed","Tue Apr 14 19:16:35 CEST 2020","Tue Apr 14 19:16:36 CEST 2020","906","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_sof2mo3wqwyr_getUserRepos","test_sof2mo3wqwyr_getUserRepos",""
"passed","Tue Apr 14 19:20:37 CEST 2020","Tue Apr 14 19:20:38 CEST 2020","830","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_vbcdtogm4z74_getUserRepos","test_vbcdtogm4z74_getUserRepos",""
"passed","Tue Apr 14 19:10:10 CEST 2020","Tue Apr 14 19:10:11 CEST 2020","855","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1jekyqcll4vn8_getUserRepos","test_1jekyqcll4vn8_getUserRepos",""
"passed","Tue Apr 14 19:19:25 CEST 2020","Tue Apr 14 19:19:26 CEST 2020","853","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_ubrwvj6znbqr_getUserRepos","test_ubrwvj6znbqr_getUserRepos",""
"passed","Tue Apr 14 19:15:34 CEST 2020","Tue Apr 14 19:15:34 CEST 2020","892","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_s1jxyuospb8z_getUserRepos","test_s1jxyuospb8z_getUserRepos",""
"passed","Tue Apr 14 19:21:21 CEST 2020","Tue Apr 14 19:21:22 CEST 2020","875","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_vf6huu8ctqus_getUserRepos","test_vf6huu8ctqus_getUserRepos",""
"passed","Tue Apr 14 19:20:07 CEST 2020","Tue Apr 14 19:20:08 CEST 2020","971","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_uv95saxf5vlc_getUserRepos","test_uv95saxf5vlc_getUserRepos",""
"passed","Tue Apr 14 19:19:31 CEST 2020","Tue Apr 14 19:19:32 CEST 2020","889","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_ure2ckrssfhd_getUserRepos","test_ure2ckrssfhd_getUserRepos",""
"passed","Tue Apr 14 19:15:07 CEST 2020","Tue Apr 14 19:15:07 CEST 2020","907","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_s10jjtxwj19v_getUserRepos","test_s10jjtxwj19v_getUserRepos",""
"passed","Tue Apr 14 19:07:54 CEST 2020","Tue Apr 14 19:07:55 CEST 2020","843","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1hv8r54s7slly_getUserRepos","test_1hv8r54s7slly_getUserRepos",""
"passed","Tue Apr 14 19:15:07 CEST 2020","Tue Apr 14 19:15:08 CEST 2020","895","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_s10ksdzkvpsz_getUserRepos","test_s10ksdzkvpsz_getUserRepos",""
"passed","Tue Apr 14 19:14:40 CEST 2020","Tue Apr 14 19:14:41 CEST 2020","955","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_rl2twgxsd9gz_getUserRepos","test_rl2twgxsd9gz_getUserRepos",""
"passed","Tue Apr 14 19:17:10 CEST 2020","Tue Apr 14 19:17:11 CEST 2020","978","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_t4q654jr25wk_getUserRepos","test_t4q654jr25wk_getUserRepos",""
"passed","Tue Apr 14 19:09:02 CEST 2020","Tue Apr 14 19:09:03 CEST 2020","886","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1iun6llmungit_getUserRepos","test_1iun6llmungit_getUserRepos",""
"passed","Tue Apr 14 19:10:54 CEST 2020","Tue Apr 14 19:10:54 CEST 2020","903","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","","githubGetUserRepos_allNominalIgnoreDependencies.GitHubTest_t4l3nx3zrlmb","test_1jifkmkubpzjo_getUserRepos","test_1jifkmkubpzjo_getUserRepos",""
