"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 18:47:56 CEST 2020","Tue Apr 14 18:47:57 CEST 2020","692","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_qe6lv31ktkdg_getUserRepos","test_qe6lv31ktkdg_getUserRepos",""
"passed","Tue Apr 14 18:50:58 CEST 2020","Tue Apr 14 18:50:58 CEST 2020","781","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_skv1yuyautrm_getUserRepos","test_skv1yuyautrm_getUserRepos",""
"passed","Tue Apr 14 18:50:26 CEST 2020","Tue Apr 14 18:50:26 CEST 2020","763","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_s1dwi0aqzald_getUserRepos","test_s1dwi0aqzald_getUserRepos",""
"passed","Tue Apr 14 18:54:34 CEST 2020","Tue Apr 14 18:54:35 CEST 2020","640","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_us0r6jv9qp9g_getUserRepos","test_us0r6jv9qp9g_getUserRepos",""
"passed","Tue Apr 14 18:53:21 CEST 2020","Tue Apr 14 18:53:22 CEST 2020","884","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_u7ojzqpvocpw_getUserRepos","test_u7ojzqpvocpw_getUserRepos",""
"passed","Tue Apr 14 18:52:45 CEST 2020","Tue Apr 14 18:52:46 CEST 2020","1053","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_tog6r0nnn33a_getUserRepos","test_tog6r0nnn33a_getUserRepos",""
"passed","Tue Apr 14 18:48:29 CEST 2020","Tue Apr 14 18:48:30 CEST 2020","830","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_qxl11tiugina_getUserRepos","test_qxl11tiugina_getUserRepos",""
"passed","Tue Apr 14 18:49:23 CEST 2020","Tue Apr 14 18:49:24 CEST 2020","699","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_rhowx7fvaf6p_getUserRepos","test_rhowx7fvaf6p_getUserRepos",""
"passed","Tue Apr 14 18:47:52 CEST 2020","Tue Apr 14 18:47:52 CEST 2020","744","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_qe3slpjv5hyo_getUserRepos","test_qe3slpjv5hyo_getUserRepos",""
"passed","Tue Apr 14 18:45:44 CEST 2020","Tue Apr 14 18:45:45 CEST 2020","747","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","","githubGetUserRepos_allNominalOriginalDependencies.GitHubTest_1iaveva1bpnhy","test_1iyl1td6km2jn_getUserRepos","test_1iyl1td6km2jn_getUserRepos",""
