"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 17:59:07 CEST 2020","Mon Apr 20 17:59:07 CEST 2020","480","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_u7rbu7adkvna_PostCoupons","test_u7rbu7adkvna_PostCoupons",""
"passed","Mon Apr 20 17:53:53 CEST 2020","Mon Apr 20 17:53:53 CEST 2020","471","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_1iexrhvjvbqr8_PostCoupons","test_1iexrhvjvbqr8_PostCoupons",""
"passed","Mon Apr 20 18:00:31 CEST 2020","Mon Apr 20 18:00:32 CEST 2020","490","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_vbbvi60mkdo1_PostCoupons","test_vbbvi60mkdo1_PostCoupons",""
"passed","Mon Apr 20 17:53:00 CEST 2020","Mon Apr 20 17:53:01 CEST 2020","495","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_1hrgzo5rwg374_PostCoupons","test_1hrgzo5rwg374_PostCoupons",""
"passed","Mon Apr 20 17:54:57 CEST 2020","Mon Apr 20 17:54:57 CEST 2020","495","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_1jicrm1dkrp6g_PostCoupons","test_1jicrm1dkrp6g_PostCoupons",""
"passed","Mon Apr 20 17:57:52 CEST 2020","Mon Apr 20 17:57:53 CEST 2020","486","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_sobs7ll7vb6t_PostCoupons","test_sobs7ll7vb6t_PostCoupons",""
"passed","Mon Apr 20 17:53:47 CEST 2020","Mon Apr 20 17:53:47 CEST 2020","671","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_1iemnmdz9f77a_PostCoupons","test_1iemnmdz9f77a_PostCoupons",""
"passed","Mon Apr 20 17:55:55 CEST 2020","Mon Apr 20 17:55:56 CEST 2020","475","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_qhkjju2kxlbl_PostCoupons","test_qhkjju2kxlbl_PostCoupons",""
"passed","Mon Apr 20 18:00:17 CEST 2020","Mon Apr 20 18:00:17 CEST 2020","480","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_uvgxjmbrl5it_PostCoupons","test_uvgxjmbrl5it_PostCoupons",""
"passed","Mon Apr 20 17:58:09 CEST 2020","Mon Apr 20 17:58:10 CEST 2020","489","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","","stripeCreateCoupon_allFaultyHalfHalfOriginalDependencies.StripeTest_qecnsxjit17q","test_t4hvzghibltl_PostCoupons","test_t4hvzghibltl_PostCoupons",""
