"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 11:04:53 CEST 2020","Wed Apr 15 11:04:53 CEST 2020","488","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_t4f29fgpz775_PostCoupons","test_t4f29fgpz775_PostCoupons",""
"passed","Wed Apr 15 11:01:45 CEST 2020","Wed Apr 15 11:01:45 CEST 2020","502","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1jyd9yfi669td_PostCoupons","test_1jyd9yfi669td_PostCoupons",""
"passed","Wed Apr 15 10:59:24 CEST 2020","Wed Apr 15 10:59:24 CEST 2020","492","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1hbafjfragrxe_PostCoupons","test_1hbafjfragrxe_PostCoupons",""
"passed","Wed Apr 15 11:07:15 CEST 2020","Wed Apr 15 11:07:15 CEST 2020","483","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_vey5r4j6fsj8_PostCoupons","test_vey5r4j6fsj8_PostCoupons",""
"passed","Wed Apr 15 11:06:41 CEST 2020","Wed Apr 15 11:06:42 CEST 2020","495","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_us08h8wagdv6_PostCoupons","test_us08h8wagdv6_PostCoupons",""
"passed","Wed Apr 15 11:05:39 CEST 2020","Wed Apr 15 11:05:40 CEST 2020","484","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_tolqmc8a7skh_PostCoupons","test_tolqmc8a7skh_PostCoupons",""
"passed","Wed Apr 15 11:02:52 CEST 2020","Wed Apr 15 11:02:52 CEST 2020","493","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_qxr2j2418n5d_PostCoupons","test_qxr2j2418n5d_PostCoupons",""
"passed","Wed Apr 15 11:00:37 CEST 2020","Wed Apr 15 11:00:37 CEST 2020","513","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1iun6m11i5f79_PostCoupons","test_1iun6m11i5f79_PostCoupons",""
"passed","Wed Apr 15 11:03:46 CEST 2020","Wed Apr 15 11:03:47 CEST 2020","479","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_s0uij7hyb4mv_PostCoupons","test_s0uij7hyb4mv_PostCoupons",""
"passed","Wed Apr 15 11:05:08 CEST 2020","Wed Apr 15 11:05:08 CEST 2020","556","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_t4yfwtvtkcoo_PostCoupons","test_t4yfwtvtkcoo_PostCoupons",""
"passed","Wed Apr 15 11:04:52 CEST 2020","Wed Apr 15 11:04:53 CEST 2020","489","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_t4f1vg0oveb8_PostCoupons","test_t4f1vg0oveb8_PostCoupons",""
"passed","Wed Apr 15 11:01:59 CEST 2020","Wed Apr 15 11:02:00 CEST 2020","507","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1k1rqctlbqzar_PostCoupons","test_1k1rqctlbqzar_PostCoupons",""
"passed","Wed Apr 15 11:07:04 CEST 2020","Wed Apr 15 11:07:05 CEST 2020","483","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_vbhw9r7ch74y_PostCoupons","test_vbhw9r7ch74y_PostCoupons",""
"passed","Wed Apr 15 11:01:16 CEST 2020","Wed Apr 15 11:01:17 CEST 2020","481","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1jeo9iu58yt68_PostCoupons","test_1jeo9iu58yt68_PostCoupons",""
"passed","Wed Apr 15 11:03:18 CEST 2020","Wed Apr 15 11:03:19 CEST 2020","481","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_rhala4swj2gh_PostCoupons","test_rhala4swj2gh_PostCoupons",""
"passed","Wed Apr 15 11:05:57 CEST 2020","Wed Apr 15 11:05:58 CEST 2020","479","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_u7zllw8ksp5x_PostCoupons","test_u7zllw8ksp5x_PostCoupons",""
"passed","Wed Apr 15 11:04:30 CEST 2020","Wed Apr 15 11:04:30 CEST 2020","475","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_sl684005fjg2_PostCoupons","test_sl684005fjg2_PostCoupons",""
"passed","Wed Apr 15 11:00:36 CEST 2020","Wed Apr 15 11:00:37 CEST 2020","484","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1iukx5hdhnofa_PostCoupons","test_1iukx5hdhnofa_PostCoupons",""
"passed","Wed Apr 15 11:04:04 CEST 2020","Wed Apr 15 11:04:04 CEST 2020","481","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_s4ulkbqb5jco_PostCoupons","test_s4ulkbqb5jco_PostCoupons",""
"passed","Wed Apr 15 11:05:58 CEST 2020","Wed Apr 15 11:05:58 CEST 2020","480","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_u7znhcq0u989_PostCoupons","test_u7znhcq0u989_PostCoupons",""
"passed","Wed Apr 15 11:01:38 CEST 2020","Wed Apr 15 11:01:39 CEST 2020","487","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1jy2o07251v75_PostCoupons","test_1jy2o07251v75_PostCoupons",""
"passed","Wed Apr 15 10:59:34 CEST 2020","Wed Apr 15 10:59:35 CEST 2020","503","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1hr86tk7wquli_PostCoupons","test_1hr86tk7wquli_PostCoupons",""
"passed","Wed Apr 15 11:02:05 CEST 2020","Wed Apr 15 11:02:05 CEST 2020","485","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1k1zkghy25rhg_PostCoupons","test_1k1zkghy25rhg_PostCoupons",""
"passed","Wed Apr 15 11:06:00 CEST 2020","Wed Apr 15 11:06:00 CEST 2020","471","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_u82e5w7t1r1x_PostCoupons","test_u82e5w7t1r1x_PostCoupons",""
"passed","Wed Apr 15 11:01:04 CEST 2020","Wed Apr 15 11:01:05 CEST 2020","484","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1je9wssnwnko5_PostCoupons","test_1je9wssnwnko5_PostCoupons",""
"passed","Wed Apr 15 11:02:56 CEST 2020","Wed Apr 15 11:02:57 CEST 2020","477","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_qxyx3huun5tg_PostCoupons","test_qxyx3huun5tg_PostCoupons",""
"passed","Wed Apr 15 11:03:43 CEST 2020","Wed Apr 15 11:03:44 CEST 2020","488","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_rl8ejh9k5y61_PostCoupons","test_rl8ejh9k5y61_PostCoupons",""
"passed","Wed Apr 15 11:07:20 CEST 2020","Wed Apr 15 11:07:21 CEST 2020","475","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_vf96u7rvaijq_PostCoupons","test_vf96u7rvaijq_PostCoupons",""
"passed","Wed Apr 15 11:05:23 CEST 2020","Wed Apr 15 11:05:24 CEST 2020","492","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_t8f7n8j39ph2_PostCoupons","test_t8f7n8j39ph2_PostCoupons",""
"passed","Wed Apr 15 11:02:24 CEST 2020","Wed Apr 15 11:02:24 CEST 2020","488","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_qe3w1h42xstw_PostCoupons","test_qe3w1h42xstw_PostCoupons",""
"passed","Wed Apr 15 10:59:51 CEST 2020","Wed Apr 15 10:59:52 CEST 2020","479","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_1huzxtnuoy0rq_PostCoupons","test_1huzxtnuoy0rq_PostCoupons",""
"passed","Wed Apr 15 11:06:45 CEST 2020","Wed Apr 15 11:06:45 CEST 2020","475","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_uv8nshhh6dyo_PostCoupons","test_uv8nshhh6dyo_PostCoupons",""
"passed","Wed Apr 15 11:04:36 CEST 2020","Wed Apr 15 11:04:36 CEST 2020","484","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","","stripeCreateCoupon_allFaultyParametersIgnoreDependencies.StripeTest_sl8z3tlte81d","test_sobsxcxf9c2r_PostCoupons","test_sobsxcxf9c2r_PostCoupons",""
