"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 20:49:41 CEST 2020","Wed Apr 15 20:49:41 CEST 2020","521","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_1hr85prdbtjza_PostCoupons","test_1hr85prdbtjza_PostCoupons",""
"passed","Wed Apr 15 20:55:54 CEST 2020","Wed Apr 15 20:55:54 CEST 2020","510","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_to4jrmysj8s0_PostCoupons","test_to4jrmysj8s0_PostCoupons",""
"passed","Wed Apr 15 20:56:02 CEST 2020","Wed Apr 15 20:56:03 CEST 2020","515","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_toie94j0ypfa_PostCoupons","test_toie94j0ypfa_PostCoupons",""
"passed","Wed Apr 15 20:55:24 CEST 2020","Wed Apr 15 20:55:24 CEST 2020","491","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_t4knb0p5shgm_PostCoupons","test_t4knb0p5shgm_PostCoupons",""
"passed","Wed Apr 15 20:51:28 CEST 2020","Wed Apr 15 20:51:28 CEST 2020","629","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_1jelgz20ipank_PostCoupons","test_1jelgz20ipank_PostCoupons",""
"passed","Wed Apr 15 20:54:35 CEST 2020","Wed Apr 15 20:54:35 CEST 2020","558","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_s4xdqkhmfbz8_PostCoupons","test_s4xdqkhmfbz8_PostCoupons",""
"passed","Wed Apr 15 20:57:33 CEST 2020","Wed Apr 15 20:57:34 CEST 2020","543","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_uvjojy1z2dlw_PostCoupons","test_uvjojy1z2dlw_PostCoupons",""
"passed","Wed Apr 15 20:49:40 CEST 2020","Wed Apr 15 20:49:41 CEST 2020","692","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_1hr84vae4vepk_PostCoupons","test_1hr84vae4vepk_PostCoupons",""
"passed","Wed Apr 15 20:54:20 CEST 2020","Wed Apr 15 20:54:20 CEST 2020","534","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_s1dxnzo5cjsh_PostCoupons","test_s1dxnzo5cjsh_PostCoupons",""
"passed","Wed Apr 15 20:50:12 CEST 2020","Wed Apr 15 20:50:12 CEST 2020","535","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","","stripeCreateCoupon_allNominalCorrectDependencies.StripeTest_urmc4471qgc7","test_1iauxe6nbdm5d_PostCoupons","test_1iauxe6nbdm5d_PostCoupons",""
