"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 14:07:41 CEST 2020","Wed Apr 15 14:07:41 CEST 2020","481","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_t49jhvzfo4mc_PostCoupons","test_t49jhvzfo4mc_PostCoupons",""
"passed","Wed Apr 15 14:09:02 CEST 2020","Wed Apr 15 14:09:02 CEST 2020","496","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_ubluxl4iysl1_PostCoupons","test_ubluxl4iysl1_PostCoupons",""
"passed","Wed Apr 15 14:09:16 CEST 2020","Wed Apr 15 14:09:17 CEST 2020","509","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_urp65lkirdpy_PostCoupons","test_urp65lkirdpy_PostCoupons",""
"passed","Wed Apr 15 14:04:37 CEST 2020","Wed Apr 15 14:04:38 CEST 2020","526","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_1jyg2fotl5v7b_PostCoupons","test_1jyg2fotl5v7b_PostCoupons",""
"passed","Wed Apr 15 14:08:27 CEST 2020","Wed Apr 15 14:08:28 CEST 2020","494","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_trrd1qnjylv5_PostCoupons","test_trrd1qnjylv5_PostCoupons",""
"passed","Wed Apr 15 14:04:13 CEST 2020","Wed Apr 15 14:04:14 CEST 2020","496","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_1ji4huo90lp2o_PostCoupons","test_1ji4huo90lp2o_PostCoupons",""
"passed","Wed Apr 15 14:07:02 CEST 2020","Wed Apr 15 14:07:02 CEST 2020","468","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_s4umcfxq5kjc_PostCoupons","test_s4umcfxq5kjc_PostCoupons",""
"passed","Wed Apr 15 14:02:29 CEST 2020","Wed Apr 15 14:02:29 CEST 2020","531","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_1huzwng8ottf7_PostCoupons","test_1huzwng8ottf7_PostCoupons",""
"passed","Wed Apr 15 14:05:53 CEST 2020","Wed Apr 15 14:05:54 CEST 2020","524","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_r17a2npudgf8_PostCoupons","test_r17a2npudgf8_PostCoupons",""
"passed","Wed Apr 15 14:05:10 CEST 2020","Wed Apr 15 14:05:11 CEST 2020","511","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","","stripeCreateCoupon_allNominalIgnoreDependencies.StripeTest_t4icodpynw4m","test_qe9d8u82s9r6_PostCoupons","test_qe9d8u82s9r6_PostCoupons",""
