"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 18:52:51 CEST 2020","Wed Apr 15 18:52:52 CEST 2020","527","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_skscuxn427g0_PostCoupons","test_skscuxn427g0_PostCoupons",""
"passed","Wed Apr 15 18:52:52 CEST 2020","Wed Apr 15 18:52:52 CEST 2020","488","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_sksdb61mkit0_PostCoupons","test_sksdb61mkit0_PostCoupons",""
"passed","Wed Apr 15 18:53:29 CEST 2020","Wed Apr 15 18:53:30 CEST 2020","521","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_t4hvwu5cj335_PostCoupons","test_t4hvwu5cj335_PostCoupons",""
"passed","Wed Apr 15 18:55:03 CEST 2020","Wed Apr 15 18:55:03 CEST 2020","488","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_uruoxmu71ly9_PostCoupons","test_uruoxmu71ly9_PostCoupons",""
"passed","Wed Apr 15 18:48:52 CEST 2020","Wed Apr 15 18:48:53 CEST 2020","522","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1iuvhxkl0oi0h_PostCoupons","test_1iuvhxkl0oi0h_PostCoupons",""
"failed","Wed Apr 15 18:55:27 CEST 2020","Wed Apr 15 18:55:27 CEST 2020","721","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_vb6diit0eblk_PostCoupons","test_vb6diit0eblk_PostCoupons",""
"passed","Wed Apr 15 18:53:12 CEST 2020","Wed Apr 15 18:53:13 CEST 2020","529","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_socbmokvgz7b_PostCoupons","test_socbmokvgz7b_PostCoupons",""
"passed","Wed Apr 15 18:52:06 CEST 2020","Wed Apr 15 18:52:07 CEST 2020","522","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_rl7vu02u6o2r_PostCoupons","test_rl7vu02u6o2r_PostCoupons",""
"passed","Wed Apr 15 18:52:24 CEST 2020","Wed Apr 15 18:52:25 CEST 2020","513","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_s1jh7oza7dcy_PostCoupons","test_s1jh7oza7dcy_PostCoupons",""
"passed","Wed Apr 15 18:48:55 CEST 2020","Wed Apr 15 18:48:56 CEST 2020","504","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1iuyqxbykci1t_PostCoupons","test_1iuyqxbykci1t_PostCoupons",""
"passed","Wed Apr 15 18:47:24 CEST 2020","Wed Apr 15 18:47:25 CEST 2020","555","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1h7wgquoet0l5_PostCoupons","test_1h7wgquoet0l5_PostCoupons",""
"passed","Wed Apr 15 18:51:50 CEST 2020","Wed Apr 15 18:51:50 CEST 2020","514","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_rhlnafpq1ysl_PostCoupons","test_rhlnafpq1ysl_PostCoupons",""
"passed","Wed Apr 15 18:49:15 CEST 2020","Wed Apr 15 18:49:15 CEST 2020","764","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1je9x4gx5qu05_PostCoupons","test_1je9x4gx5qu05_PostCoupons",""
"passed","Wed Apr 15 18:48:31 CEST 2020","Wed Apr 15 18:48:32 CEST 2020","519","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1iemn5kl1c50l_PostCoupons","test_1iemn5kl1c50l_PostCoupons",""
"passed","Wed Apr 15 18:49:25 CEST 2020","Wed Apr 15 18:49:26 CEST 2020","504","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1jeliwznmly75_PostCoupons","test_1jeliwznmly75_PostCoupons",""
"passed","Wed Apr 15 18:50:43 CEST 2020","Wed Apr 15 18:50:44 CEST 2020","497","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_qhq2eai1o115_PostCoupons","test_qhq2eai1o115_PostCoupons",""
"failed","Wed Apr 15 18:55:41 CEST 2020","Wed Apr 15 18:55:41 CEST 2020","489","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_vbq9jg9tn49u_PostCoupons","test_vbq9jg9tn49u_PostCoupons",""
"failed","Wed Apr 15 18:49:41 CEST 2020","Wed Apr 15 18:49:41 CEST 2020","494","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1jxzgn56wmywk_PostCoupons","test_1jxzgn56wmywk_PostCoupons",""
"passed","Wed Apr 15 18:47:27 CEST 2020","Wed Apr 15 18:47:28 CEST 2020","500","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1h7zs0bj9rwpt_PostCoupons","test_1h7zs0bj9rwpt_PostCoupons",""
"passed","Wed Apr 15 18:47:16 CEST 2020","Wed Apr 15 18:47:16 CEST 2020","516","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1h7o5f3apmwxi_PostCoupons","test_1h7o5f3apmwxi_PostCoupons",""
"passed","Wed Apr 15 18:48:39 CEST 2020","Wed Apr 15 18:48:40 CEST 2020","480","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_1iexrfcrc88xh_PostCoupons","test_1iexrfcrc88xh_PostCoupons",""
"passed","Wed Apr 15 18:53:41 CEST 2020","Wed Apr 15 18:53:41 CEST 2020","518","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","","stripeCreateCoupon_allNominalOriginalDependencies.StripeTest_1jew2lo85sdh2","test_t81uaz1os1f5_PostCoupons","test_t81uaz1os1f5_PostCoupons",""
