"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 18:10:53 CEST 2020","Mon Apr 20 18:10:54 CEST 2020","509","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_1iupz8dvwao1i_PostProducts","test_1iupz8dvwao1i_PostProducts",""
"passed","Mon Apr 20 18:14:23 CEST 2020","Mon Apr 20 18:14:24 CEST 2020","497","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_s1bnflpbcxmg_PostProducts","test_s1bnflpbcxmg_PostProducts",""
"passed","Mon Apr 20 18:14:35 CEST 2020","Mon Apr 20 18:14:35 CEST 2020","473","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_s4ruyn7gdwmd_PostProducts","test_s4ruyn7gdwmd_PostProducts",""
"passed","Mon Apr 20 18:15:44 CEST 2020","Mon Apr 20 18:15:45 CEST 2020","683","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_t81atboutizp_PostProducts","test_t81atboutizp_PostProducts",""
"passed","Mon Apr 20 18:15:24 CEST 2020","Mon Apr 20 18:15:25 CEST 2020","834","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_t4cst5p95kj7_PostProducts","test_t4cst5p95kj7_PostProducts",""
"passed","Mon Apr 20 18:10:38 CEST 2020","Mon Apr 20 18:10:38 CEST 2020","505","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_1ibjskawwmfdy_PostProducts","test_1ibjskawwmfdy_PostProducts",""
"passed","Mon Apr 20 18:15:20 CEST 2020","Mon Apr 20 18:15:20 CEST 2020","508","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_soq5snse1fec_PostProducts","test_soq5snse1fec_PostProducts",""
"passed","Mon Apr 20 18:16:25 CEST 2020","Mon Apr 20 18:16:26 CEST 2020","476","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_trrczhrkatet_PostProducts","test_trrczhrkatet_PostProducts",""
"passed","Mon Apr 20 18:14:52 CEST 2020","Mon Apr 20 18:14:53 CEST 2020","706","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_skvmxvrtaib8_PostProducts","test_skvmxvrtaib8_PostProducts",""
"passed","Mon Apr 20 18:13:33 CEST 2020","Mon Apr 20 18:13:34 CEST 2020","474","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_rh4zv0mjbtk5_PostProducts","test_rh4zv0mjbtk5_PostProducts",""
"passed","Mon Apr 20 18:15:30 CEST 2020","Mon Apr 20 18:15:31 CEST 2020","517","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_t4l4243nwe9i_PostProducts","test_t4l4243nwe9i_PostProducts",""
"passed","Mon Apr 20 18:15:58 CEST 2020","Mon Apr 20 18:15:59 CEST 2020","486","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_t8f7poyo271y_PostProducts","test_t8f7poyo271y_PostProducts",""
"passed","Mon Apr 20 18:16:06 CEST 2020","Mon Apr 20 18:16:07 CEST 2020","646","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_to53l093db92_PostProducts","test_to53l093db92_PostProducts",""
"passed","Mon Apr 20 18:11:54 CEST 2020","Mon Apr 20 18:11:54 CEST 2020","493","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_1jy2opkjuar1e_PostProducts","test_1jy2opkjuar1e_PostProducts",""
"passed","Mon Apr 20 18:09:31 CEST 2020","Mon Apr 20 18:09:31 CEST 2020","496","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_1hbah5yzimmaq_PostProducts","test_1hbah5yzimmaq_PostProducts",""
"passed","Mon Apr 20 18:09:30 CEST 2020","Mon Apr 20 18:09:31 CEST 2020","489","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_1hbagdqulryhv_PostProducts","test_1hbagdqulryhv_PostProducts",""
"passed","Mon Apr 20 18:11:53 CEST 2020","Mon Apr 20 18:11:53 CEST 2020","483","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_1jy2793m9e2b9_PostProducts","test_1jy2793m9e2b9_PostProducts",""
"passed","Mon Apr 20 18:17:07 CEST 2020","Mon Apr 20 18:17:07 CEST 2020","490","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_ubu5vgxrei5f_PostProducts","test_ubu5vgxrei5f_PostProducts",""
"passed","Mon Apr 20 18:15:46 CEST 2020","Mon Apr 20 18:15:46 CEST 2020","531","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_t81d5mndkvoh_PostProducts","test_t81d5mndkvoh_PostProducts",""
"passed","Mon Apr 20 18:18:11 CEST 2020","Mon Apr 20 18:18:11 CEST 2020","679","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_vf6xdo3wpu7s_PostProducts","test_vf6xdo3wpu7s_PostProducts",""
"passed","Mon Apr 20 18:15:29 CEST 2020","Mon Apr 20 18:15:29 CEST 2020","499","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_t4kk6nw2u739_PostProducts","test_t4kk6nw2u739_PostProducts",""
"passed","Mon Apr 20 18:17:22 CEST 2020","Mon Apr 20 18:17:22 CEST 2020","485","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_uruo7zfq7h2r_PostProducts","test_uruo7zfq7h2r_PostProducts",""
"passed","Mon Apr 20 18:16:14 CEST 2020","Mon Apr 20 18:16:15 CEST 2020","484","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_toddcbq1pvfo_PostProducts","test_toddcbq1pvfo_PostProducts",""
"passed","Mon Apr 20 18:17:41 CEST 2020","Mon Apr 20 18:17:41 CEST 2020","501","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_uvjpbxyw3iht_PostProducts","test_uvjpbxyw3iht_PostProducts",""
"passed","Mon Apr 20 18:13:27 CEST 2020","Mon Apr 20 18:13:28 CEST 2020","512","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_r1fn0oigh0f9_PostProducts","test_r1fn0oigh0f9_PostProducts",""
"passed","Mon Apr 20 18:17:09 CEST 2020","Mon Apr 20 18:17:10 CEST 2020","492","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","","stripeCreateProduct_allFaultyHalfHalfOriginalDependencies.StripeTest_1iusq5exft2sm","test_ure0pq3d7diw_PostProducts","test_ure0pq3d7diw_PostProducts",""
