"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 11:38:46 CEST 2020","Wed Apr 15 11:38:47 CEST 2020","489","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_vbhgadsu1j6t_PostProducts","test_vbhgadsu1j6t_PostProducts",""
"passed","Wed Apr 15 11:32:55 CEST 2020","Wed Apr 15 11:32:55 CEST 2020","483","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_1iyez6175ia8x_PostProducts","test_1iyez6175ia8x_PostProducts",""
"passed","Wed Apr 15 11:34:26 CEST 2020","Wed Apr 15 11:34:27 CEST 2020","502","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_qhq49p23348l_PostProducts","test_qhq49p23348l_PostProducts",""
"passed","Wed Apr 15 11:36:25 CEST 2020","Wed Apr 15 11:36:25 CEST 2020","497","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_sl8zw625vhwj_PostProducts","test_sl8zw625vhwj_PostProducts",""
"passed","Wed Apr 15 11:36:04 CEST 2020","Wed Apr 15 11:36:05 CEST 2020","490","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_skjzndhojfht_PostProducts","test_skjzndhojfht_PostProducts",""
"passed","Wed Apr 15 11:38:50 CEST 2020","Wed Apr 15 11:38:50 CEST 2020","498","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_vbngx1sdfeif_PostProducts","test_vbngx1sdfeif_PostProducts",""
"passed","Wed Apr 15 11:37:30 CEST 2020","Wed Apr 15 11:37:31 CEST 2020","505","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_ts1yxolvvvhy_PostProducts","test_ts1yxolvvvhy_PostProducts",""
"passed","Wed Apr 15 11:30:54 CEST 2020","Wed Apr 15 11:30:55 CEST 2020","510","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_1h7wzrobbh3ch_PostProducts","test_1h7wzrobbh3ch_PostProducts",""
"passed","Wed Apr 15 11:32:05 CEST 2020","Wed Apr 15 11:32:05 CEST 2020","492","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_1ib9913oil5d1_PostProducts","test_1ib9913oil5d1_PostProducts",""
"passed","Wed Apr 15 11:34:10 CEST 2020","Wed Apr 15 11:34:11 CEST 2020","664","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","","stripeCreateProduct_allFaultyParametersIgnoreDependencies.StripeTest_1jeqi79liwhm8","test_qe115a3jzqli_PostProducts","test_qe115a3jzqli_PostProducts",""
