"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 09:06:44 CEST 2020","Thu Apr 16 09:06:45 CEST 2020","489","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_qxffy3db5zs1_PostProducts","test_qxffy3db5zs1_PostProducts",""
"passed","Thu Apr 16 09:10:23 CEST 2020","Thu Apr 16 09:10:23 CEST 2020","737","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_u87w5bjuik36_PostProducts","test_u87w5bjuik36_PostProducts",""
"passed","Thu Apr 16 09:11:30 CEST 2020","Thu Apr 16 09:11:30 CEST 2020","507","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_vey4iqc6xf76_PostProducts","test_vey4iqc6xf76_PostProducts",""
"passed","Thu Apr 16 09:05:42 CEST 2020","Thu Apr 16 09:05:43 CEST 2020","546","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_1jydrhxoreter_PostProducts","test_1jydrhxoreter_PostProducts",""
"passed","Thu Apr 16 09:09:23 CEST 2020","Thu Apr 16 09:09:23 CEST 2020","613","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_t4w8e9thtkxc_PostProducts","test_t4w8e9thtkxc_PostProducts",""
"passed","Thu Apr 16 09:06:59 CEST 2020","Thu Apr 16 09:07:00 CEST 2020","501","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_qxzemxqt5ilf_PostProducts","test_qxzemxqt5ilf_PostProducts",""
"passed","Thu Apr 16 09:08:05 CEST 2020","Thu Apr 16 09:08:05 CEST 2020","510","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_s1eevsv2rjg4_PostProducts","test_s1eevsv2rjg4_PostProducts",""
"passed","Thu Apr 16 09:10:28 CEST 2020","Thu Apr 16 09:10:28 CEST 2020","495","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_u8b84ftg86d4_PostProducts","test_u8b84ftg86d4_PostProducts",""
"passed","Thu Apr 16 09:09:40 CEST 2020","Thu Apr 16 09:09:41 CEST 2020","525","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_to539cb7oym1_PostProducts","test_to539cb7oym1_PostProducts",""
"passed","Thu Apr 16 09:08:04 CEST 2020","Thu Apr 16 09:08:04 CEST 2020","516","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_s1dyfro1ysdw_PostProducts","test_s1dyfro1ysdw_PostProducts",""
"passed","Thu Apr 16 09:03:34 CEST 2020","Thu Apr 16 09:03:34 CEST 2020","501","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_1hr5dhi0avxo1_PostProducts","test_1hr5dhi0avxo1_PostProducts",""
"passed","Thu Apr 16 09:07:52 CEST 2020","Thu Apr 16 09:07:52 CEST 2020","511","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","","stripeCreateProduct_allNominalCorrectDependencies.StripeTest_rl2bwbmhrpdd","test_s0x9ga2r4ncj_PostProducts","test_s0x9ga2r4ncj_PostProducts",""
