"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 15 12:13:35 CEST 2020","Wed Apr 15 12:13:36 CEST 2020","500","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_sksudzoovl0x_PostProducts","test_sksudzoovl0x_PostProducts",""
"passed","Wed Apr 15 12:11:25 CEST 2020","Wed Apr 15 12:11:25 CEST 2020","498","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_qdysh6t2do4k_PostProducts","test_qdysh6t2do4k_PostProducts",""
"passed","Wed Apr 15 12:16:00 CEST 2020","Wed Apr 15 12:16:01 CEST 2020","500","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_uv945e9ydz5c_PostProducts","test_uv945e9ydz5c_PostProducts",""
"passed","Wed Apr 15 12:13:30 CEST 2020","Wed Apr 15 12:13:30 CEST 2020","482","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_skmtdgw19liw_PostProducts","test_skmtdgw19liw_PostProducts",""
"passed","Wed Apr 15 12:16:33 CEST 2020","Wed Apr 15 12:16:34 CEST 2020","489","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_vey6gsbiflf8_PostProducts","test_vey6gsbiflf8_PostProducts",""
"passed","Wed Apr 15 12:12:50 CEST 2020","Wed Apr 15 12:12:51 CEST 2020","498","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_rl2aq6ck2wde_PostProducts","test_rl2aq6ck2wde_PostProducts",""
"passed","Wed Apr 15 12:09:49 CEST 2020","Wed Apr 15 12:09:49 CEST 2020","519","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_1iun7unjd6vxt_PostProducts","test_1iun7unjd6vxt_PostProducts",""
"passed","Wed Apr 15 12:15:52 CEST 2020","Wed Apr 15 12:15:53 CEST 2020","530","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_us07bb41rrqr_PostProducts","test_us07bb41rrqr_PostProducts",""
"passed","Wed Apr 15 12:10:10 CEST 2020","Wed Apr 15 12:10:11 CEST 2020","505","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_1iyqld0v5phdh_PostProducts","test_1iyqld0v5phdh_PostProducts",""
"passed","Wed Apr 15 12:13:55 CEST 2020","Wed Apr 15 12:13:55 CEST 2020","489","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","","stripeCreateProduct_allNominalIgnoreDependencies.StripeTest_vbsi5147h0f7","test_sohd8yuzqqt1_PostProducts","test_sohd8yuzqqt1_PostProducts",""
