"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 15 12:27:03 CEST 2020","Wed Apr 15 12:27:03 CEST 2020","497","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_1h7ld6r5smqlx_PostProducts","test_1h7ld6r5smqlx_PostProducts",""
"passed","Wed Apr 15 12:29:50 CEST 2020","Wed Apr 15 12:29:50 CEST 2020","532","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_1jy7qpwb4zote_PostProducts","test_1jy7qpwb4zote_PostProducts",""
"failed","Wed Apr 15 12:32:32 CEST 2020","Wed Apr 15 12:32:33 CEST 2020","515","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_s4v5ikywdooj_PostProducts","test_s4v5ikywdooj_PostProducts",""
"failed","Wed Apr 15 12:30:19 CEST 2020","Wed Apr 15 12:30:19 CEST 2020","497","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_qdsqzztp2sdz_PostProducts","test_qdsqzztp2sdz_PostProducts",""
"passed","Wed Apr 15 12:35:31 CEST 2020","Wed Apr 15 12:35:31 CEST 2020","523","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_vevuntrqv5mb_PostProducts","test_vevuntrqv5mb_PostProducts",""
"failed","Wed Apr 15 12:35:25 CEST 2020","Wed Apr 15 12:35:26 CEST 2020","657","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_vbq7zfredh0h_PostProducts","test_vbq7zfredh0h_PostProducts",""
"failed","Wed Apr 15 12:29:27 CEST 2020","Wed Apr 15 12:29:28 CEST 2020","491","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_1jer1ouz3h5is_PostProducts","test_1jer1ouz3h5is_PostProducts",""
"passed","Wed Apr 15 12:27:54 CEST 2020","Wed Apr 15 12:27:55 CEST 2020","521","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_1hv897nrad8x0_PostProducts","test_1hv897nrad8x0_PostProducts",""
"passed","Wed Apr 15 12:31:36 CEST 2020","Wed Apr 15 12:31:36 CEST 2020","527","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_rh7pzzdiq63p_PostProducts","test_rh7pzzdiq63p_PostProducts",""
"failed","Wed Apr 15 12:34:27 CEST 2020","Wed Apr 15 12:34:27 CEST 2020","515","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_ubj4eoulhyyd_PostProducts","test_ubj4eoulhyyd_PostProducts",""
"failed","Wed Apr 15 12:27:16 CEST 2020","Wed Apr 15 12:27:16 CEST 2020","497","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_1hbg0bjma18iu_PostProducts","test_1hbg0bjma18iu_PostProducts",""
"passed","Wed Apr 15 12:32:13 CEST 2020","Wed Apr 15 12:32:14 CEST 2020","670","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","","stripeCreateProduct_allNominalOriginalDependencies.StripeTest_vevuo5mrcegl","test_s18dc3fvqjp1_PostProducts","test_s18dc3fvqjp1_PostProducts",""
