"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 20:57:09 CEST 2020","Tue Apr 14 20:57:09 CEST 2020","257","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_qxnsigu5y62e_getBlogLikes","test_qxnsigu5y62e_getBlogLikes",""
"passed","Tue Apr 14 20:58:25 CEST 2020","Tue Apr 14 20:58:25 CEST 2020","251","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_t8cfjkhehtgh_getBlogLikes","test_t8cfjkhehtgh_getBlogLikes",""
"failed","Tue Apr 14 20:57:45 CEST 2020","Tue Apr 14 20:57:45 CEST 2020","293","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_s1b3xyb1od2t_getBlogLikes","test_s1b3xyb1od2t_getBlogLikes",""
"failed","Tue Apr 14 20:59:22 CEST 2020","Tue Apr 14 20:59:22 CEST 2020","282","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_vbcd16fxr8ma_getBlogLikes","test_vbcd16fxr8ma_getBlogLikes",""
"passed","Tue Apr 14 20:58:49 CEST 2020","Tue Apr 14 20:58:49 CEST 2020","258","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_u7xd8r7u08kl_getBlogLikes","test_u7xd8r7u08kl_getBlogLikes",""
"failed","Tue Apr 14 20:58:40 CEST 2020","Tue Apr 14 20:58:40 CEST 2020","246","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_trz57d211ahw_getBlogLikes","test_trz57d211ahw_getBlogLikes",""
"passed","Tue Apr 14 20:55:34 CEST 2020","Tue Apr 14 20:55:35 CEST 2020","265","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_1hv8b3kfyv6sx_getBlogLikes","test_1hv8b3kfyv6sx_getBlogLikes",""
"passed","Tue Apr 14 20:57:44 CEST 2020","Tue Apr 14 20:57:45 CEST 2020","258","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_s18v9ayp3yuq_getBlogLikes","test_s18v9ayp3yuq_getBlogLikes",""
"passed","Tue Apr 14 20:59:19 CEST 2020","Tue Apr 14 20:59:19 CEST 2020","268","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_vb6as3582rmq_getBlogLikes","test_vb6as3582rmq_getBlogLikes",""
"passed","Tue Apr 14 20:55:53 CEST 2020","Tue Apr 14 20:55:53 CEST 2020","258","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","","tumblrRetrieveBlogsLikes_allNominalIgnoreDependencies.TumblrTest_1jy88q2ckhjqx","test_1ievhl3stlwky_getBlogLikes","test_1ievhl3stlwky_getBlogLikes",""
