"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 18:26:03 CEST 2020","Mon Apr 20 18:26:03 CEST 2020","303","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_1iyl1vxxkw3fq_getBusinesses","test_1iyl1vxxkw3fq_getBusinesses",""
"passed","Mon Apr 20 18:27:17 CEST 2020","Mon Apr 20 18:27:18 CEST 2020","291","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_qhsx7s4v9lbt_getBusinesses","test_qhsx7s4v9lbt_getBusinesses",""
"passed","Mon Apr 20 18:30:48 CEST 2020","Mon Apr 20 18:30:49 CEST 2020","855","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_urrvlml09zz6_getBusinesses","test_urrvlml09zz6_getBusinesses",""
"passed","Mon Apr 20 18:31:28 CEST 2020","Mon Apr 20 18:31:29 CEST 2020","381","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_vbshtyjp05km_getBusinesses","test_vbshtyjp05km_getBusinesses",""
"passed","Mon Apr 20 18:29:39 CEST 2020","Mon Apr 20 18:29:40 CEST 2020","849","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_t8cwmk1vyerb_getBusinesses","test_t8cwmk1vyerb_getBusinesses",""
"passed","Mon Apr 20 18:28:36 CEST 2020","Mon Apr 20 18:28:36 CEST 2020","432","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_s4p3nnheiou0_getBusinesses","test_s4p3nnheiou0_getBusinesses",""
"passed","Mon Apr 20 18:26:20 CEST 2020","Mon Apr 20 18:26:21 CEST 2020","284","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_1ji4zgezdusfa_getBusinesses","test_1ji4zgezdusfa_getBusinesses",""
"passed","Mon Apr 20 18:27:35 CEST 2020","Mon Apr 20 18:27:35 CEST 2020","282","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_qxwnpfclegyq_getBusinesses","test_qxwnpfclegyq_getBusinesses",""
"passed","Mon Apr 20 18:28:13 CEST 2020","Mon Apr 20 18:28:14 CEST 2020","935","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_rl5ms18bfl11_getBusinesses","test_rl5ms18bfl11_getBusinesses",""
"passed","Mon Apr 20 18:30:40 CEST 2020","Mon Apr 20 18:30:40 CEST 2020","387","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_urguu03mzale_getBusinesses","test_urguu03mzale_getBusinesses",""
"failed","Mon Apr 20 18:28:42 CEST 2020","Mon Apr 20 18:28:43 CEST 2020","481","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_skkjg9f8cmra_getBusinesses","test_skkjg9f8cmra_getBusinesses",""
"passed","Mon Apr 20 18:31:16 CEST 2020","Mon Apr 20 18:31:16 CEST 2020","330","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_vb9mtoxkp5ya_getBusinesses","test_vb9mtoxkp5ya_getBusinesses",""
"failed","Mon Apr 20 18:26:49 CEST 2020","Mon Apr 20 18:26:50 CEST 2020","509","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_1k1tyyua6klrt_getBusinesses","test_1k1tyyua6klrt_getBusinesses",""
"passed","Mon Apr 20 18:28:58 CEST 2020","Mon Apr 20 18:28:59 CEST 2020","307","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_sl3xvg52b7sk_getBusinesses","test_sl3xvg52b7sk_getBusinesses",""
"passed","Mon Apr 20 18:30:09 CEST 2020","Mon Apr 20 18:30:09 CEST 2020","358","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_trzn4zxbmfqr_getBusinesses","test_trzn4zxbmfqr_getBusinesses",""
"passed","Mon Apr 20 18:27:39 CEST 2020","Mon Apr 20 18:27:39 CEST 2020","299","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","","yelpBusinessesSearch_allFaultyHalfHalfOriginalDependencies.YelpTest_u7oi1l6lgj02","test_r178z185zbdw_getBusinesses","test_r178z185zbdw_getBusinesses",""
