"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 21:09:09 CEST 2020","Mon Apr 13 21:09:10 CEST 2020","348","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_1k25jzqkskhgm_getBusinesses","test_1k25jzqkskhgm_getBusinesses",""
"passed","Mon Apr 13 21:12:35 CEST 2020","Mon Apr 13 21:12:35 CEST 2020","300","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_us30pkmzzz1y_getBusinesses","test_us30pkmzzz1y_getBusinesses",""
"passed","Mon Apr 13 21:12:22 CEST 2020","Mon Apr 13 21:12:23 CEST 2020","297","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_ure0pw06h46d_getBusinesses","test_ure0pw06h46d_getBusinesses",""
"passed","Mon Apr 13 21:12:54 CEST 2020","Mon Apr 13 21:12:54 CEST 2020","286","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_vbnhasppd7j5_getBusinesses","test_vbnhasppd7j5_getBusinesses",""
"passed","Mon Apr 13 21:09:04 CEST 2020","Mon Apr 13 21:09:05 CEST 2020","309","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_1k1u04lrem78z_getBusinesses","test_1k1u04lrem78z_getBusinesses",""
"passed","Mon Apr 13 21:08:32 CEST 2020","Mon Apr 13 21:08:32 CEST 2020","325","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_1jei6650pug52_getBusinesses","test_1jei6650pug52_getBusinesses",""
"passed","Mon Apr 13 21:07:28 CEST 2020","Mon Apr 13 21:07:28 CEST 2020","339","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_1hrrlpauicmd5_getBusinesses","test_1hrrlpauicmd5_getBusinesses",""
"passed","Mon Apr 13 21:08:53 CEST 2020","Mon Apr 13 21:08:54 CEST 2020","362","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_1jy26s5x5hpv4_getBusinesses","test_1jy26s5x5hpv4_getBusinesses",""
"passed","Mon Apr 13 21:09:25 CEST 2020","Mon Apr 13 21:09:25 CEST 2020","278","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_qecnc7qba3w6_getBusinesses","test_qecnc7qba3w6_getBusinesses",""
"passed","Mon Apr 13 21:08:02 CEST 2020","Mon Apr 13 21:08:03 CEST 2020","308","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","","yelpBusinessesSearch_allFaultyParametersIgnoreDependencies.YelpTest_s4mcl6tg1aux","test_1iukfomnanltl_getBusinesses","test_1iukfomnanltl_getBusinesses",""
