"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 12:56:37 CEST 2020","Tue Apr 14 12:56:38 CEST 2020","756","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_sl0n0207c7s1_getBusinesses","test_sl0n0207c7s1_getBusinesses",""
"passed","Tue Apr 14 12:52:12 CEST 2020","Tue Apr 14 12:52:13 CEST 2020","389","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1ib99cpnouwxj_getBusinesses","test_1ib99cpnouwxj_getBusinesses",""
"passed","Tue Apr 14 12:52:33 CEST 2020","Tue Apr 14 12:52:33 CEST 2020","574","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1iexqpzlwllwx_getBusinesses","test_1iexqpzlwllwx_getBusinesses",""
"passed","Tue Apr 14 12:52:16 CEST 2020","Tue Apr 14 12:52:16 CEST 2020","561","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1ibea9gvm7msy_getBusinesses","test_1ibea9gvm7msy_getBusinesses",""
"passed","Tue Apr 14 12:51:33 CEST 2020","Tue Apr 14 12:51:34 CEST 2020","400","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1hrmj7x2g2vjo_getBusinesses","test_1hrmj7x2g2vjo_getBusinesses",""
"passed","Tue Apr 14 12:53:45 CEST 2020","Tue Apr 14 12:53:46 CEST 2020","537","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1jy28cbysbepg_getBusinesses","test_1jy28cbysbepg_getBusinesses",""
"passed","Tue Apr 14 12:56:38 CEST 2020","Tue Apr 14 12:56:38 CEST 2020","674","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_sl0n2yj6exbo_getBusinesses","test_sl0n2yj6exbo_getBusinesses",""
"passed","Tue Apr 14 12:59:32 CEST 2020","Tue Apr 14 12:59:32 CEST 2020","492","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_vbhwl7xsmf5i_getBusinesses","test_vbhwl7xsmf5i_getBusinesses",""
"passed","Tue Apr 14 12:59:08 CEST 2020","Tue Apr 14 12:59:08 CEST 2020","505","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_uv94xty6dg6x_getBusinesses","test_uv94xty6dg6x_getBusinesses",""
"passed","Tue Apr 14 12:55:35 CEST 2020","Tue Apr 14 12:55:35 CEST 2020","403","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_rkxaa0ytrx9t_getBusinesses","test_rkxaa0ytrx9t_getBusinesses",""
"passed","Tue Apr 14 12:57:03 CEST 2020","Tue Apr 14 12:57:03 CEST 2020","495","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_t4f0n1sjoks4_getBusinesses","test_t4f0n1sjoks4_getBusinesses",""
"passed","Tue Apr 14 12:52:35 CEST 2020","Tue Apr 14 12:52:35 CEST 2020","551","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1if0jzh3mhzqr_getBusinesses","test_1if0jzh3mhzqr_getBusinesses",""
"passed","Tue Apr 14 12:56:44 CEST 2020","Tue Apr 14 12:56:44 CEST 2020","349","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_sl8x5k4h215x_getBusinesses","test_sl8x5k4h215x_getBusinesses",""
"passed","Tue Apr 14 12:54:48 CEST 2020","Tue Apr 14 12:54:48 CEST 2020","378","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_qxr438jjjpdk_getBusinesses","test_qxr438jjjpdk_getBusinesses",""
"passed","Tue Apr 14 12:51:36 CEST 2020","Tue Apr 14 12:51:36 CEST 2020","495","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1hrpa7qoy5z5c_getBusinesses","test_1hrpa7qoy5z5c_getBusinesses",""
"passed","Tue Apr 14 12:57:51 CEST 2020","Tue Apr 14 12:57:51 CEST 2020","372","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_trqthwbtj883_getBusinesses","test_trqthwbtj883_getBusinesses",""
"passed","Tue Apr 14 12:51:04 CEST 2020","Tue Apr 14 12:51:05 CEST 2020","715","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1h7zb6h4gqpuu_getBusinesses","test_1h7zb6h4gqpuu_getBusinesses",""
"passed","Tue Apr 14 12:54:02 CEST 2020","Tue Apr 14 12:54:02 CEST 2020","531","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","","yelpBusinessesSearch_allNominalIgnoreDependencies.YelpTest_1jew1cwjmd6bb","test_1k1r8cpyistv4_getBusinesses","test_1k1r8cpyistv4_getBusinesses",""
