"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 20:36:11 CEST 2020","Mon Apr 13 20:36:12 CEST 2020","539","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_1hbgh0eulb41k_getBusinesses","test_1hbgh0eulb41k_getBusinesses",""
"passed","Mon Apr 13 20:39:52 CEST 2020","Mon Apr 13 20:39:53 CEST 2020","631","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_qe9w13po7x9x_getBusinesses","test_qe9w13po7x9x_getBusinesses",""
"passed","Mon Apr 13 20:39:29 CEST 2020","Mon Apr 13 20:39:30 CEST 2020","728","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_1k22slmdvqbsl_getBusinesses","test_1k22slmdvqbsl_getBusinesses",""
"passed","Mon Apr 13 20:40:03 CEST 2020","Mon Apr 13 20:40:04 CEST 2020","1086","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_qhl2ncd46ulf_getBusinesses","test_qhl2ncd46ulf_getBusinesses",""
"passed","Mon Apr 13 20:39:19 CEST 2020","Mon Apr 13 20:39:20 CEST 2020","488","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_1jylkth2y349u_getBusinesses","test_1jylkth2y349u_getBusinesses",""
"passed","Mon Apr 13 20:41:54 CEST 2020","Mon Apr 13 20:41:55 CEST 2020","1100","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_rl0228m6bq5w_getBusinesses","test_rl0228m6bq5w_getBusinesses",""
"passed","Mon Apr 13 20:41:20 CEST 2020","Mon Apr 13 20:41:21 CEST 2020","1143","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_rhb0vf592c6r_getBusinesses","test_rhb0vf592c6r_getBusinesses",""
"passed","Mon Apr 13 20:41:48 CEST 2020","Mon Apr 13 20:41:49 CEST 2020","506","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_rhugxd0rihye_getBusinesses","test_rhugxd0rihye_getBusinesses",""
"passed","Mon Apr 13 20:41:58 CEST 2020","Mon Apr 13 20:41:59 CEST 2020","534","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_rl53a5zba63p_getBusinesses","test_rl53a5zba63p_getBusinesses",""
"passed","Mon Apr 13 20:46:08 CEST 2020","Mon Apr 13 20:46:08 CEST 2020","481","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_uv5svympn700_getBusinesses","test_uv5svympn700_getBusinesses",""
"passed","Mon Apr 13 20:41:17 CEST 2020","Mon Apr 13 20:41:18 CEST 2020","1088","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_rhak43gf633o_getBusinesses","test_rhak43gf633o_getBusinesses",""
"passed","Mon Apr 13 20:45:41 CEST 2020","Mon Apr 13 20:45:41 CEST 2020","507","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_urgtqjh3s01k_getBusinesses","test_urgtqjh3s01k_getBusinesses",""
"passed","Mon Apr 13 20:38:26 CEST 2020","Mon Apr 13 20:38:26 CEST 2020","416","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_1jei9lqb6n7sj_getBusinesses","test_1jei9lqb6n7sj_getBusinesses",""
"passed","Mon Apr 13 20:40:06 CEST 2020","Mon Apr 13 20:40:06 CEST 2020","478","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","","yelpBusinessesSearch_allNominalOriginalDependencies.YelpTest_1h7x08a6aapmc","test_qhnv78fe96jq_getBusinesses","test_qhnv78fe96jq_getBusinesses",""
