"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 20 19:11:55 CEST 2020","Mon Apr 20 19:11:55 CEST 2020","160","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_s1jz7p26kth3_youtubevideoslist","test_s1jz7p26kth3_youtubevideoslist",""
"passed","Mon Apr 20 19:12:07 CEST 2020","Mon Apr 20 19:12:07 CEST 2020","185","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_socbmgbr6la1_youtubevideoslist","test_socbmgbr6la1_youtubevideoslist",""
"failed","Mon Apr 20 19:12:17 CEST 2020","Mon Apr 20 19:12:18 CEST 2020","199","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_t4q3qd6pn6ex_youtubevideoslist","test_t4q3qd6pn6ex_youtubevideoslist",""
"passed","Mon Apr 20 19:10:59 CEST 2020","Mon Apr 20 19:10:59 CEST 2020","178","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_1ji1qghctg111_youtubevideoslist","test_1ji1qghctg111_youtubevideoslist",""
"passed","Mon Apr 20 19:12:38 CEST 2020","Mon Apr 20 19:12:38 CEST 2020","166","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_u7p2s0ksp92r_youtubevideoslist","test_u7p2s0ksp92r_youtubevideoslist",""
"passed","Mon Apr 20 19:11:44 CEST 2020","Mon Apr 20 19:11:45 CEST 2020","155","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_rhuggl8t0rqb_youtubevideoslist","test_rhuggl8t0rqb_youtubevideoslist",""
"passed","Mon Apr 20 19:13:06 CEST 2020","Mon Apr 20 19:13:06 CEST 2020","169","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_vb9mi490kmr7_youtubevideoslist","test_vb9mi490kmr7_youtubevideoslist",""
"passed","Mon Apr 20 19:10:07 CEST 2020","Mon Apr 20 19:10:08 CEST 2020","194","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_1hrm077dlyer4_youtubevideoslist","test_1hrm077dlyer4_youtubevideoslist",""
"passed","Mon Apr 20 19:11:45 CEST 2020","Mon Apr 20 19:11:45 CEST 2020","188","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_rkwuati0tzjt_youtubevideoslist","test_rkwuati0tzjt_youtubevideoslist",""
"passed","Mon Apr 20 19:11:52 CEST 2020","Mon Apr 20 19:11:52 CEST 2020","149","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","","youtubeGetVideos_allFaultyHalfHalfOriginalDependencies.YouTubeGetVideosTest_rl5lli4c10zd","test_s1bntqcj55yd_youtubevideoslist","test_s1bntqcj55yd_youtubevideoslist",""
