"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 13:35:50 CEST 2020","Thu Apr 16 13:35:51 CEST 2020","871","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_1hr5dv4yu0sa9_youtubevideoslist","test_1hr5dv4yu0sa9_youtubevideoslist",""
"passed","Thu Apr 16 13:39:56 CEST 2020","Thu Apr 16 13:39:56 CEST 2020","228","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_t8a4us5aixpw_youtubevideoslist","test_t8a4us5aixpw_youtubevideoslist",""
"passed","Thu Apr 16 13:38:30 CEST 2020","Thu Apr 16 13:38:30 CEST 2020","257","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_r1cw1177b86u_youtubevideoslist","test_r1cw1177b86u_youtubevideoslist",""
"passed","Thu Apr 16 13:37:14 CEST 2020","Thu Apr 16 13:37:15 CEST 2020","1001","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_1ji27on4kexcz_youtubevideoslist","test_1ji27on4kexcz_youtubevideoslist",""
"passed","Thu Apr 16 13:39:45 CEST 2020","Thu Apr 16 13:39:45 CEST 2020","224","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_t4f1hd9yia0o_youtubevideoslist","test_t4f1hd9yia0o_youtubevideoslist",""
"passed","Thu Apr 16 13:40:25 CEST 2020","Thu Apr 16 13:40:26 CEST 2020","236","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_u7wvbhs7e4vr_youtubevideoslist","test_u7wvbhs7e4vr_youtubevideoslist",""
"passed","Thu Apr 16 13:36:01 CEST 2020","Thu Apr 16 13:36:01 CEST 2020","386","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_1hv0g4tp7b7eh_youtubevideoslist","test_1hv0g4tp7b7eh_youtubevideoslist",""
"passed","Thu Apr 16 13:39:09 CEST 2020","Thu Apr 16 13:39:09 CEST 2020","222","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_s4sdoikxn68y_youtubevideoslist","test_s4sdoikxn68y_youtubevideoslist",""
"passed","Thu Apr 16 13:39:31 CEST 2020","Thu Apr 16 13:39:32 CEST 2020","200","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_socbb7uf7iuv_youtubevideoslist","test_socbb7uf7iuv_youtubevideoslist",""
"passed","Thu Apr 16 13:41:22 CEST 2020","Thu Apr 16 13:41:22 CEST 2020","382","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_vey46w76gcis_youtubevideoslist","test_vey46w76gcis_youtubevideoslist",""
"passed","Thu Apr 16 13:35:27 CEST 2020","Thu Apr 16 13:35:27 CEST 2020","336","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_1h7lfwv08a69e_youtubevideoslist","test_1h7lfwv08a69e_youtubevideoslist",""
"passed","Thu Apr 16 13:38:11 CEST 2020","Thu Apr 16 13:38:11 CEST 2020","278","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","","youtubeGetVideos_allNominalOriginalDependencies.YouTubeGetVideosTest_s4xwfzqnigj6","test_qxocbklkmpmh_youtubevideoslist","test_qxocbklkmpmh_youtubevideoslist",""
