"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 12:49:51 CEST 2020","Sun Apr 26 12:49:51 CEST 2020","365","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_toixcmwpor3t_youtubesearchlist","test_toixcmwpor3t_youtubesearchlist",""
"passed","Sun Apr 26 12:48:31 CEST 2020","Sun Apr 26 12:48:31 CEST 2020","408","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_rhajcb3he6np_youtubesearchlist","test_rhajcb3he6np_youtubesearchlist",""
"passed","Sun Apr 26 12:48:01 CEST 2020","Sun Apr 26 12:48:01 CEST 2020","431","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_qe133fn2j0hg_youtubesearchlist","test_qe133fn2j0hg_youtubesearchlist",""
"passed","Sun Apr 26 12:50:36 CEST 2020","Sun Apr 26 12:50:36 CEST 2020","426","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_vb6v4dfsa2pf_youtubesearchlist","test_vb6v4dfsa2pf_youtubesearchlist",""
"passed","Sun Apr 26 12:46:44 CEST 2020","Sun Apr 26 12:46:45 CEST 2020","155","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_1hrrlmo491n4y_youtubesearchlist","test_1hrrlmo491n4y_youtubesearchlist",""
"passed","Sun Apr 26 12:47:35 CEST 2020","Sun Apr 26 12:47:36 CEST 2020","142","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_1ji4j380piuld_youtubesearchlist","test_1ji4j380piuld_youtubesearchlist",""
"passed","Sun Apr 26 12:47:08 CEST 2020","Sun Apr 26 12:47:08 CEST 2020","185","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_1iexrw4jazsdh_youtubesearchlist","test_1iexrw4jazsdh_youtubesearchlist",""
"passed","Sun Apr 26 12:47:47 CEST 2020","Sun Apr 26 12:47:47 CEST 2020","279","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_1jyb0vwyegxth_youtubesearchlist","test_1jyb0vwyegxth_youtubesearchlist",""
"passed","Sun Apr 26 12:48:07 CEST 2020","Sun Apr 26 12:48:07 CEST 2020","439","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_qeewspgmsv20_youtubesearchlist","test_qeewspgmsv20_youtubesearchlist",""
"passed","Sun Apr 26 12:49:12 CEST 2020","Sun Apr 26 12:49:12 CEST 2020","136","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","","youtubeSearch_allFaultyHalfHalfOriginalDependencies.YouTubeTest_t842zkge8nkz","test_sobuxz952m3p_youtubesearchlist","test_sobuxz952m3p_youtubesearchlist",""
