"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 22 23:51:34 CEST 2020","Wed Apr 22 23:51:35 CEST 2020","484","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_1iv1i8c1re2jo_youtubesearchlist","test_1iv1i8c1re2jo_youtubesearchlist",""
"passed","Wed Apr 22 23:56:18 CEST 2020","Wed Apr 22 23:56:18 CEST 2020","530","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_ts4nz4rvd8bo_youtubesearchlist","test_ts4nz4rvd8bo_youtubesearchlist",""
"passed","Wed Apr 22 23:51:51 CEST 2020","Wed Apr 22 23:51:51 CEST 2020","299","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_1iyntlivhtwfa_youtubesearchlist","test_1iyntlivhtwfa_youtubesearchlist",""
"passed","Wed Apr 22 23:57:29 CEST 2020","Wed Apr 22 23:57:29 CEST 2020","439","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_vbq7laqtenuh_youtubesearchlist","test_vbq7laqtenuh_youtubesearchlist",""
"passed","Wed Apr 22 23:51:35 CEST 2020","Wed Apr 22 23:51:35 CEST 2020","441","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_1iv3qx5oip7hz_youtubesearchlist","test_1iv3qx5oip7hz_youtubesearchlist",""
"passed","Wed Apr 22 23:55:11 CEST 2020","Wed Apr 22 23:55:12 CEST 2020","452","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_sonf6reib41l_youtubesearchlist","test_sonf6reib41l_youtubesearchlist",""
"passed","Wed Apr 22 23:56:05 CEST 2020","Wed Apr 22 23:56:05 CEST 2020","357","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_tooidw857zu8_youtubesearchlist","test_tooidw857zu8_youtubesearchlist",""
"passed","Wed Apr 22 23:55:25 CEST 2020","Wed Apr 22 23:55:26 CEST 2020","385","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_t4sx29i0hpb5_youtubesearchlist","test_t4sx29i0hpb5_youtubesearchlist",""
"passed","Wed Apr 22 23:55:58 CEST 2020","Wed Apr 22 23:55:58 CEST 2020","324","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_tofn9axwxt9e_youtubesearchlist","test_tofn9axwxt9e_youtubesearchlist",""
"passed","Wed Apr 22 23:56:48 CEST 2020","Wed Apr 22 23:56:49 CEST 2020","562","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_ubup1c6a5qhw_youtubesearchlist","test_ubup1c6a5qhw_youtubesearchlist",""
"passed","Wed Apr 22 23:50:37 CEST 2020","Wed Apr 22 23:50:37 CEST 2020","310","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_1hbaypd93ot9u_youtubesearchlist","test_1hbaypd93ot9u_youtubesearchlist",""
"passed","Wed Apr 22 23:51:46 CEST 2020","Wed Apr 22 23:51:46 CEST 2020","353","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_1iyfhvubm2nhg_youtubesearchlist","test_1iyfhvubm2nhg_youtubesearchlist",""
"passed","Wed Apr 22 23:54:09 CEST 2020","Wed Apr 22 23:54:09 CEST 2020","455","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_rl53o73001gl_youtubesearchlist","test_rl53o73001gl_youtubesearchlist",""
"passed","Wed Apr 22 23:52:32 CEST 2020","Wed Apr 22 23:52:32 CEST 2020","371","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_1jygivmiete7k_youtubesearchlist","test_1jygivmiete7k_youtubesearchlist",""
"passed","Wed Apr 22 23:53:09 CEST 2020","Wed Apr 22 23:53:09 CEST 2020","432","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_qhntn6064w8l_youtubesearchlist","test_qhntn6064w8l_youtubesearchlist",""
"passed","Wed Apr 22 23:57:41 CEST 2020","Wed Apr 22 23:57:42 CEST 2020","504","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","","youtubeSearch_allNominalCorrectDependencies.YouTubeTest_1jidbxziull4l","test_vf9r3flsymhx_youtubesearchlist","test_vf9r3flsymhx_youtubesearchlist",""
