"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 24 09:39:08 CEST 2020","Fri Apr 24 09:39:08 CEST 2020","166","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_vbshtyk0mre9_youtubesearchlist","test_vbshtyk0mre9_youtubesearchlist",""
"passed","Fri Apr 24 09:36:54 CEST 2020","Fri Apr 24 09:36:54 CEST 2020","412","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_s504qc6syeld_youtubesearchlist","test_s504qc6syeld_youtubesearchlist",""
"passed","Fri Apr 24 09:38:36 CEST 2020","Fri Apr 24 09:38:36 CEST 2020","426","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_urpmlh8nhanl_youtubesearchlist","test_urpmlh8nhanl_youtubesearchlist",""
"passed","Fri Apr 24 09:39:06 CEST 2020","Fri Apr 24 09:39:06 CEST 2020","168","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_vbpovzslwqwg_youtubesearchlist","test_vbpovzslwqwg_youtubesearchlist",""
"passed","Fri Apr 24 09:37:22 CEST 2020","Fri Apr 24 09:37:22 CEST 2020","409","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_t4l4g38jjujl_youtubesearchlist","test_t4l4g38jjujl_youtubesearchlist",""
"passed","Fri Apr 24 09:33:17 CEST 2020","Fri Apr 24 09:33:21 CEST 2020","3066","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_1h7ind8tpfnfn_youtubesearchlist","test_1h7ind8tpfnfn_youtubesearchlist",""
"passed","Fri Apr 24 09:34:03 CEST 2020","Fri Apr 24 09:34:03 CEST 2020","412","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_1ib3omx0jnh2r_youtubesearchlist","test_1ib3omx0jnh2r_youtubesearchlist",""
"passed","Fri Apr 24 09:37:46 CEST 2020","Fri Apr 24 09:37:47 CEST 2020","155","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_to52h5tcdmi9_youtubesearchlist","test_to52h5tcdmi9_youtubesearchlist",""
"passed","Fri Apr 24 09:37:19 CEST 2020","Fri Apr 24 09:37:19 CEST 2020","147","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_t4f3qx7y3wiu_youtubesearchlist","test_t4f3qx7y3wiu_youtubesearchlist",""
"passed","Fri Apr 24 09:35:55 CEST 2020","Fri Apr 24 09:35:56 CEST 2020","410","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","","youtubeSearch_allNominalIgnoreDependencies.YouTubeTest_ubj4ptcrc5lt","test_qxqjtmug7fhu_youtubesearchlist","test_qxqjtmug7fhu_youtubesearchlist",""
