"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 23 10:50:55 CEST 2020","Thu Apr 23 10:50:56 CEST 2020","431","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_vf6eqpoxtir4_youtubesearchlist","test_vf6eqpoxtir4_youtubesearchlist",""
"failed","Thu Apr 23 10:47:25 CEST 2020","Thu Apr 23 10:47:26 CEST 2020","408","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_s0xamddzg7s3_youtubesearchlist","test_s0xamddzg7s3_youtubesearchlist",""
"passed","Thu Apr 23 10:46:04 CEST 2020","Thu Apr 23 10:46:05 CEST 2020","452","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_qe9v93tbeg51_youtubesearchlist","test_qe9v93tbeg51_youtubesearchlist",""
"failed","Thu Apr 23 10:47:06 CEST 2020","Thu Apr 23 10:47:07 CEST 2020","374","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_rhr4tes0lj5f_youtubesearchlist","test_rhr4tes0lj5f_youtubesearchlist",""
"failed","Thu Apr 23 10:46:44 CEST 2020","Thu Apr 23 10:46:45 CEST 2020","384","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_r1a3h17ytism_youtubesearchlist","test_r1a3h17ytism_youtubesearchlist",""
"failed","Thu Apr 23 10:47:16 CEST 2020","Thu Apr 23 10:47:17 CEST 2020","412","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_rl7vug8gereh_youtubesearchlist","test_rl7vug8gereh_youtubesearchlist",""
"failed","Thu Apr 23 10:43:51 CEST 2020","Thu Apr 23 10:43:52 CEST 2020","430","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_1hrgfv9kz04f9_youtubesearchlist","test_1hrgfv9kz04f9_youtubesearchlist",""
"failed","Thu Apr 23 10:50:58 CEST 2020","Thu Apr 23 10:50:58 CEST 2020","407","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_vf9p5hllr0ac_youtubesearchlist","test_vf9p5hllr0ac_youtubesearchlist",""
"failed","Thu Apr 23 10:47:04 CEST 2020","Thu Apr 23 10:47:04 CEST 2020","448","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_rhm4tnbcs08j_youtubesearchlist","test_rhm4tnbcs08j_youtubesearchlist",""
"failed","Thu Apr 23 10:45:25 CEST 2020","Thu Apr 23 10:45:25 CEST 2020","475","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_1jy5fps0o1t9d_youtubesearchlist","test_1jy5fps0o1t9d_youtubesearchlist",""
"failed","Thu Apr 23 10:48:15 CEST 2020","Thu Apr 23 10:48:15 CEST 2020","415","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_soen1bu8thys_youtubesearchlist","test_soen1bu8thys_youtubesearchlist",""
"passed","Thu Apr 23 10:45:53 CEST 2020","Thu Apr 23 10:45:53 CEST 2020","511","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_1k254eadkpiyc_youtubesearchlist","test_1k254eadkpiyc_youtubesearchlist",""
"passed","Thu Apr 23 10:45:16 CEST 2020","Thu Apr 23 10:45:17 CEST 2020","477","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","","youtubeSearch_allNominalOriginalDependencies.YouTubeTest_1ibkcty5ho28x","test_1jicrammfp92s_youtubesearchlist","test_1jicrammfp92s_youtubesearchlist",""
